year,months,organ,kind,number,numofpeople
113,8,瑞芳分局,罰鍰,7,7
113,8,金山分局,罰鍰,2,2
113,8,林口分局,罰鍰,40,40
113,8,總　　　計,没入攤架,0,0
113,8,板橋分局,没入攤架,0,0
113,8,海山分局,没入攤架,0,0
113,8,中和分局,没入攤架,0,0
113,8,永和分局,没入攤架,0,0
113,8,三重分局,没入攤架,0,0
113,8,新莊分局,没入攤架,0,0
113,8,土城分局,没入攤架,0,0
113,8,新店分局,没入攤架,0,0
113,8,蘆洲分局,没入攤架,0,0
113,8,三峽分局,没入攤架,0,0
113,8,樹林分局,没入攤架,0,0
113,8,汐止分局,没入攤架,0,0
113,8,淡水分局,没入攤架,0,0
113,8,瑞芳分局,没入攤架,0,0
113,8,金山分局,没入攤架,0,0
113,8,林口分局,没入攤架,0,0
113,8,總　　　計,拆除攤架,0,0
113,8,板橋分局,拆除攤架,0,0
113,8,海山分局,拆除攤架,0,0
113,8,中和分局,拆除攤架,0,0
113,8,永和分局,拆除攤架,0,0
113,8,三重分局,拆除攤架,0,0
113,8,新莊分局,拆除攤架,0,0
113,8,土城分局,拆除攤架,0,0
113,8,新店分局,拆除攤架,0,0
113,8,蘆洲分局,拆除攤架,0,0
113,8,三峽分局,拆除攤架,0,0
113,8,樹林分局,拆除攤架,0,0
113,8,汐止分局,拆除攤架,0,0
113,8,淡水分局,拆除攤架,0,0
113,8,瑞芳分局,拆除攤架,0,0
113,8,金山分局,拆除攤架,0,0
113,8,林口分局,拆除攤架,0,0
113,8,總　　　計,勸導,994,994
113,8,板橋分局,勸導,169,169
113,8,海山分局,勸導,48,48
113,8,中和分局,勸導,263,263
113,8,永和分局,勸導,0,0
113,8,三重分局,勸導,38,38
113,8,新莊分局,勸導,226,226
113,8,土城分局,勸導,82,82
113,8,新店分局,勸導,0,0
113,8,蘆洲分局,勸導,84,84
113,8,三峽分局,勸導,32,32
113,8,樹林分局,勸導,5,5
113,8,汐止分局,勸導,0,0
113,8,淡水分局,勸導,0,0
113,8,瑞芳分局,勸導,40,40
113,8,金山分局,勸導,7,7
113,8,林口分局,勸導,0,0
